Date,v12_signal,v17_signal,calm_bull_trigger,spy_above_trend,spy_momentum_13w,spy_rv_26w,spy_rv_ref_55p,vix,vix_ma_52w,yc_pos_steep,t10y2y,t10y2y_chg_13w,tier_intersection,tier_cb_only,tier_yc_only,tier_nervous_market
2022-04-01,1.0,1.0,0,1,-0.0434412642288442,0.16992449321299263,0.18127495579896524,19.6299991607666,19.96115387403048,0,-0.05,-0.8400000000000001,0,0,0,0
2022-04-08,1.0,1.15,0,1,-0.03675176432095284,0.1707838407801298,0.1788824336052679,21.15999984741211,20.047115399287296,0,0.19,-0.7,0,0,0,1
2022-04-15,0.6,0.6,0,0,-0.05502229453907881,0.17194085852780888,0.17770158828887167,22.700000762939453,20.171153875497673,0,0.36,-0.43000000000000005,0,0,0,0
2022-04-22,0.6,0.6,0,0,-0.024239426753304816,0.17416020381834277,0.17628983532370382,28.209999084472656,20.380384628589336,0,0.18,-0.56,0,0,0,0
2022-04-29,-1.0,-1.0,0,0,-0.06487182829949922,0.1779958094273599,0.17628983532370382,33.400001525878906,20.66480772311871,0,0.19,-0.44,0,0,0,0
2022-05-06,-1.0,-1.0,0,0,-0.08041485294674289,0.17456202352098243,0.17526093804692883,30.190000534057617,20.924423107734093,0,0.4,-0.21999999999999997,0,0,0,0
2022-05-13,-1.0,-1.0,0,0,-0.08512012068806596,0.17656771572107968,0.17526093804692883,28.8700008392334,21.117884672605076,0,0.32,-0.09999999999999998,0,0,0,0
2022-05-20,-1.0,-1.0,0,0,-0.0999229885938635,0.17947430920222388,0.17526093804692883,29.43000030517578,21.296346224271336,0,0.18,-0.27,0,0,0,0
2022-05-27,-1.0,-1.0,0,0,-0.04842931608291001,0.2050454895986493,0.17526093804692883,25.719999313354492,21.468653898972732,0,0.27,-0.14999999999999997,0,0,0,0
2022-06-03,-1.0,-1.0,0,0,-0.047098410832481785,0.20498257001245868,0.17526093804692883,24.790000915527344,21.629615453573372,1,0.3,0.06,0,0,0,0
2022-06-10,-1.0,-1.0,0,0,-0.0691768436164828,0.20612989971658371,0.17526093804692883,27.75,21.86230776860164,0,0.09,-0.16,0,0,0,0
2022-06-17,1.0,1.15,0,0,-0.1733995953988885,0.21767533162473124,0.17526093804692883,31.1299991607666,22.062884660867546,0,0.08,-0.09000000000000001,0,0,0,1
2022-06-24,0.6,0.6,0,0,-0.1345843083013667,0.2380171361422771,0.17526093804692883,27.229999542236328,22.286153885034416,0,0.09,-0.09,0,0,0,0
2022-07-01,0.6,0.6,0,0,-0.15462594944131325,0.23793207558683183,0.17526093804692883,26.700000762939453,22.50980775172894,1,0.04,0.09,0,0,0,0
2022-07-08,0.6,0.6,0,0,-0.12784817204524213,0.2403521174559661,0.17526093804692883,24.639999389648438,22.67250004181495,0,-0.03,-0.22,0,0,0,0
2022-07-15,0.6,0.6,0,0,-0.11648586068333233,0.24033905951348605,0.17526093804692883,24.229999542236328,22.783653864493736,0,-0.2,-0.56,0,0,0,0
2022-07-22,1.0,1.15,0,0,-0.06864012663927221,0.2322215922459528,0.17526093804692883,23.030000686645508,22.89576924764193,0,-0.21,-0.39,0,0,0,1
2022-07-29,1.0,1.15,0,0,0.00429531287768814,0.2406588704951813,0.17526093804692883,21.329999923706055,22.95519232749939,0,-0.22,-0.41000000000000003,0,0,0,1
2022-08-05,1.0,1.15,0,0,0.009520391155426466,0.23949099954375094,0.17526093804692883,21.149999618530273,23.051346173653236,0,-0.41,-0.81,0,0,0,1
2022-08-12,1.0,1.0,0,0,0.06777083334002332,0.24331442419952518,0.17526093804692883,19.530000686645508,23.129807728987473,0,-0.41,-0.73,0,0,0,0
2022-08-19,1.0,1.15,0,0,0.08811821625413896,0.24304228831713717,0.17526093804692883,20.600000381469727,23.16903851582454,0,-0.27,-0.45,0,0,0,1
