horizon_years,start,end,v17_return,v12_return,spy_return,v17_sharpe,v12_sharpe,spy_sharpe,v17_beats_spy_return,v17_beats_v12_return,v17_beats_spy_sharpe,v17_beats_v12_sharpe
3,2017-07-26,2020-07-27,1.0315237937131068,0.9713661930521515,0.38420332766772214,1.1280349978029773,1.0961628301928397,0.5288048499030839,True,True,True,True
3,2017-08-24,2020-08-25,1.2096295084362576,1.1233822805392046,0.49094208320701194,1.2585166878233836,1.2142081939498466,0.642260634444758,True,True,True,True
3,2017-09-25,2020-09-24,1.0159474574601615,0.9552257530055923,0.37287024764371846,1.1009101336599303,1.0723142523017535,0.5145286779310655,True,True,True,True
3,2017-10-24,2020-10-23,1.1112570959145933,1.0354576105099729,0.4292053945758014,1.1631434950158464,1.128872945303924,0.5731849757598398,True,True,True,True
3,2017-11-22,2020-11-23,1.157256199949348,1.072809635419644,0.4554322809641904,1.1821399275888564,1.146369628122107,0.5970544780677828,True,True,True,True
3,2017-12-22,2020-12-23,1.1593093366652005,1.0692273319885954,0.4529169510638209,1.1828693142997533,1.1438433790304146,0.5954778247835285,True,True,True,True
3,2018-01-25,2021-01-26,1.149604853531487,1.0415166464729935,0.43345977297187455,1.174366465549192,1.1232376073291361,0.5767470835090955,True,True,True,True
3,2018-02-26,2021-02-25,1.1831420310853482,1.0964557598437947,0.47203550984663134,1.2058882724089013,1.1749256683769607,0.6209300623575004,True,True,True,True
3,2018-03-27,2021-03-26,1.369324736841179,1.2482939184702788,0.5786493318643025,1.3324786214552873,1.2873539596956889,0.727327599332932,True,True,True,True
3,2018-04-26,2021-04-27,1.5499035895861297,1.3839022198602673,0.6738672891900133,1.4510930563257012,1.3868603682034852,0.8193726632796187,True,True,True,True
3,2018-05-25,2021-05-26,1.474799720135572,1.312321856380564,0.6236068263325956,1.4016829198401692,1.3385981907969033,0.7748095585294055,True,True,True,True
3,2018-06-26,2021-06-25,1.5399255386946722,1.3666842314686458,0.6617776039192491,1.4431364548089443,1.3777851812950455,0.8119959634069088,True,True,True,True
3,2018-07-26,2021-07-27,1.498742565324371,1.3239112745537325,0.6317443865979433,1.4189509884134415,1.3504492874844483,0.7865782290223942,True,True,True,True
3,2018-08-24,2021-08-25,1.5430356454414094,1.3615161547187111,0.6581488164011771,1.44701408575332,1.3774648954931907,0.8126610025412466,True,True,True,True
3,2018-09-25,2021-09-24,1.465284050732349,1.2902267971272252,0.6080926845910577,1.4003402920895631,1.3303503893191488,0.7687238398341179,True,True,True,True
3,2018-10-24,2021-10-25,1.7319848181847552,1.4998300261743274,0.7552665014899351,1.5610695017195435,1.4726747780092746,0.9031773606112706,True,True,True,True
3,2018-11-23,2021-11-23,1.915911235824853,1.649860509776599,0.8624399470858275,1.6785527033907726,1.5838706879112103,1.0030381066102814,True,True,True,True
3,2018-12-26,2021-12-23,2.1506735507535955,1.892456923849704,1.1122184241071835,1.7895981273151764,1.716419246680257,1.2012685150603832,True,True,True,True
3,2019-01-28,2022-01-25,1.5652652149521789,1.3595924423063956,0.7193756372394107,1.4877018342870012,1.4067169197615903,0.9001426466330998,True,True,True,True
3,2019-02-27,2022-02-24,1.4076548298830112,1.2163624044767678,0.6127953028916946,1.386657914989425,1.3058668207695832,0.7986867311367302,True,True,True,True
3,2019-03-28,2022-03-25,1.486951464516629,1.290771490730282,0.7004258519325197,1.43384082740636,1.3563709258685845,0.8728464578381023,True,True,True,True
3,2019-04-29,2022-04-26,1.2132952589100383,1.0484933695094343,0.4896845540853574,1.2548658817474836,1.1789674514603437,0.6731524027681991,True,True,True,True
3,2019-05-29,2022-05-25,1.369585531091725,1.1822802976835245,0.4899650818465271,1.3336655652088039,1.2525449036563745,0.665473608369587,True,True,True,True
3,2019-06-27,2022-06-27,1.5299565793416456,1.3084832285475225,0.40451641065525323,1.4099425812094937,1.3199273760811017,0.5744482046780438,True,True,True,True
3,2019-07-29,2022-07-27,1.492025104109227,1.2892056645529326,0.3941281007695707,1.384137087450723,1.3031850648000836,0.5612185324507937,True,True,True,True
3,2019-08-27,2022-08-25,1.7742735218381243,1.5226619007538802,0.5292775392112912,1.5486469204043654,1.4609040069311798,0.6927825644255761,True,True,True,True
3,2019-09-26,2022-09-26,1.5217810925348525,1.3228724418653117,0.28447232492295993,1.3901157111691342,1.3204733575190726,0.44293313540276913,True,True,True,True
3,2019-10-25,2022-10-25,1.3331795007770713,1.148899522136071,0.34471367558226484,1.2669103681132328,1.191998199724829,0.5002998783808273,True,True,True,True
3,2019-11-25,2022-11-23,1.4736255606177364,1.2676947860684602,0.35797195697283324,1.3238875122209697,1.248922316257272,0.5065809554401517,True,True,True,True
3,2019-12-26,2022-12-23,1.2517654639778764,1.0880924959344815,0.25042006114081516,1.1829464905083606,1.1198528463461275,0.39112859647126796,True,True,True,True
