period,model,n,total_return,cagr,annual_vol,sharpe,max_drawdown,calmar,hit_rate,avg_exposure,pct_levered,pct_short,tc_bps
full,SPY_BH,4398,11.502730232086742,0.1557317161961509,0.18280665990045555,0.8072331441151703,-0.3371726975633842,0.46187522691357685,0.5541155070486585,1.0,0.0,0.0,20.0
full,v12,4398,28.93827352279826,0.2150271441109779,0.18105466857890815,1.0894456312577403,-0.2427079588595591,0.8859501151975059,0.5547976352887676,0.9890177353342428,0.12369258753979082,0.020009095043201454,20.0
full,v17_conservative,4398,35.32521120197099,0.22856463920370418,0.1895876045282816,1.1072545548081292,-0.2436130211175187,0.938228335066888,0.5534333788085494,1.073524329240564,0.7285129604365621,0.020009095043201454,20.0
holdout_2021_plus,SPY_BH,1348,1.1237006197814723,0.15119264038530345,0.1690643623723047,0.7174466237677529,-0.24496401230984644,0.6172034780115585,0.5459940652818991,1.0,0.0,0.0,20.0
holdout_2021_plus,v12,1348,2.0828554924568765,0.2342600588966306,0.16202009008032492,1.1717272843260849,-0.17633541189744273,1.3284912904101023,0.5497032640949555,0.9002225519287834,0.09643916913946587,0.05118694362017804,20.0
holdout_2021_plus,v17_conservative,1348,2.2899235248948995,0.2493513380744179,0.17281412958263262,1.179344097963075,-0.17967381391515003,1.3878001064316066,0.5519287833827893,0.9832789317507419,0.7574183976261127,0.05118694362017804,20.0
full,SPY_BH,4398,11.502730232086742,0.1557317161961509,0.18280665990045555,0.8072331441151703,-0.3371726975633842,0.46187522691357685,0.5541155070486585,1.0,0.0,0.0,30.0
full,v12,4398,26.980966870236095,0.2103290498933792,0.18100401690000661,1.0682872618093897,-0.24340886730901135,0.8640977307797222,0.5534333788085494,0.9890177353342428,0.12369258753979082,0.020009095043201454,30.0
full,v17_conservative,4398,32.4090983326205,0.22268780160359958,0.18953507389203242,1.0821977650067782,-0.24436781244547723,0.9112812337070176,0.5511596180081856,1.073524329240564,0.7285129604365621,0.020009095043201454,30.0
holdout_2021_plus,SPY_BH,1348,1.1237006197814723,0.15119264038530345,0.1690643623723047,0.7174466237677529,-0.24496401230984644,0.6172034780115585,0.5459940652818991,1.0,0.0,0.0,30.0
holdout_2021_plus,v12,1348,1.9942157110122034,0.22754687235314397,0.16202757397783166,1.1379966450853447,-0.18121848763215165,1.2556493287540977,0.548219584569733,0.9002225519287834,0.09643916913946587,0.05118694362017804,30.0
holdout_2021_plus,v17_conservative,1348,2.1857419526736463,0.24185820281145132,0.17280889323590953,1.144538747878156,-0.1847823006231072,1.3088818679921055,0.5497032640949555,0.9832789317507419,0.7574183976261127,0.05118694362017804,30.0
