,v12_signal,v17_signal,calm_bull_trigger,spy_above_trend,spy_momentum_13w,spy_rv_26w,spy_rv_ref_55p,vix,vix_ma_52w,yc_pos_steep,t10y2y,t10y2y_chg_13w,tier_intersection,tier_cb_only,tier_cb_weak,tier_cb_strong,tier_yc_only,spy_ma20,spy_dd_52w,vix3m,vix_contango,hy_oas,hy_oas_ma_26w,hy_oas_chg_4w,credit_ok,tier_nervous_market
2009-07-24,1.0,1.22,0,0,0.13794064025048947,0.3123028033702912,,23.09000015258789,,1,2.65,0.6099999999999999,0,0,0,0,1,65.38206348419189,0.0,26.3700008392334,1,,,,0,0
2009-07-31,1.0,1.22,0,0,0.1305966173736277,0.3118738274103463,,25.920000076293945,,1,2.39,0.10000000000000009,0,0,0,0,1,66.25923004150391,0.0,28.399999618530273,1,,,,0,0
2009-08-07,1.0,1.22,0,0,0.09455402311169303,0.30674160686844065,,24.760000228881836,,1,2.57,0.2799999999999998,0,0,0,0,1,67.18216209411621,0.0,27.110000610351562,1,,,,0,0
2009-08-14,1.0,1.22,0,0,0.14259212767969842,0.296207722445514,,24.270000457763672,,1,2.48,0.2200000000000002,0,0,0,0,1,67.90946159362792,-0.004051041844785885,27.110000610351562,1,,,,0,0
2009-08-21,1.0,1.3,0,1,0.16323999378160403,0.27616288446433446,,25.010000228881836,,0,2.43,-0.09999999999999964,0,0,0,0,0,68.61990509033203,0.0,27.770000457763672,1,,,,0,1
2009-08-28,1.0,1.3,0,1,0.12357017011418492,0.26341103602276106,,24.760000228881836,,0,2.45,-0.09999999999999964,0,0,0,0,0,69.28845310211182,0.0,28.5,1,,,,0,1
2009-09-04,1.0,1.3,0,1,0.08552684699454094,0.23812315353618901,,25.260000228881836,,0,2.51,-0.010000000000000231,0,0,0,0,0,69.86134510040283,-0.01276846700480505,28.479999542236328,1,,,,0,1
2009-09-11,1.0,1.3,0,1,0.10813893682201003,0.20101261792221123,,24.149999618530273,,0,2.44,-0.06999999999999984,0,0,0,0,0,70.55006904602051,0.0,26.559999465942383,1,,,,0,1
2009-09-18,1.0,1.3,0,1,0.16501855780169095,0.20151612808681751,,23.920000076293945,,0,2.46,-0.08000000000000007,0,0,0,0,0,71.28453788757324,0.0,26.540000915527344,1,,,,0,1
2009-09-25,1.0,1.3,0,1,0.14272165872061926,0.19309108900263908,,25.610000610351562,,0,2.36,-0.06000000000000005,0,0,0,0,0,71.74709091186523,-0.021270619571275406,27.209999084472656,1,,,,0,1
2009-10-02,1.0,1.3,0,1,0.1466228670239591,0.1944338037047141,,28.68000030517578,,0,2.36,-0.16999999999999993,0,0,0,0,0,72.29396057128906,-0.03963618527869095,28.799999237060547,1,,,,0,1
2009-10-09,1.0,1.22,0,1,0.2252256925821816,0.20141928595511804,,23.1200008392334,,1,2.42,0.009999999999999787,0,0,0,0,1,73.00690803527831,0.0,25.079999923706055,1,,,,0,0
2009-10-16,1.0,1.3,0,1,0.16231478352674222,0.2014422245821732,,21.43000030517578,,0,2.46,-0.18999999999999995,0,0,0,0,0,73.65124969482422,0.0,24.399999618530273,1,,,,0,1
2009-10-23,1.0,1.3,0,1,0.1074322505259171,0.20186006807289603,,22.270000457763672,,0,2.47,-0.17999999999999972,0,0,0,0,0,74.19106330871583,-0.007438751722988024,24.309999465942383,1,,,,0,1
2009-10-30,1.0,1.22,0,1,0.0530643135251776,0.21420525743484703,,30.690000534057617,,1,2.51,0.11999999999999966,0,0,0,0,1,74.5431640625,-0.04894844183321312,29.06999969482422,0,,,,0,0
