date,spy_return,model_return,regime,v17_signal
2025-04-11,0.056721201874428306,0.02609539313055964,DEFENSIVE,0.6
2025-04-18,-0.014102905481801487,-0.004237700911173592,LEVERAGED_LONG,1.7
2025-04-25,0.04602887409240708,0.10505668347383201,LEVERAGED_LONG,1.7
2025-05-02,0.029275050737501918,0.04925768046834089,LEVERAGED_LONG,1.7
2025-05-09,-0.004269894358238546,-0.007916483922756012,LEVERAGED_LONG,1.7
2025-05-16,0.052911302536658766,0.09024145122802119,YC_BOOST,1.12
2025-05-23,-0.02539554137771538,-0.02884239412890799,YC_BOOST,1.12
2025-05-30,0.01775152407579772,0.01974397652917781,LEVERAGED_LONG,1.2
2025-06-06,0.01654236569487999,0.01954719019833817,YC_BOOST,1.12
2025-06-13,-0.0035717468886061754,-0.004139678949142467,YC_BOOST,1.12
2025-06-20,-0.0016132749958092107,-0.002068798620504575,YC_BOOST,1.12
2025-06-27,0.03471416778614578,0.03890708434589718,YC_BOOST,1.12
2025-07-04,0.01696195015229307,0.01890309604460616,YC_BOOST,1.12
2025-07-11,-0.002750556947425209,-0.0031997727850499036,YC_BOOST,1.12
2025-07-18,0.006350026990205482,0.007007372779576748,YC_BOOST,1.12
2025-07-25,0.015169401325332066,0.01684844484796799,NORMAL,1.0
2025-08-01,-0.024140781484711882,-0.024199347743819044,YC_BOOST,1.12
2025-08-08,0.024866581971893842,0.027670840198896762,YC_BOOST,1.12
2025-08-15,0.00982461807669055,0.010911850668857914,YC_BOOST,1.12
2025-08-22,0.0029063123926609258,0.0030644401962556245,YC_BOOST,1.12
2025-08-29,-0.00040300142104521264,-0.0005489410340127066,YC_BOOST,1.12
2025-09-05,0.0033950694152808936,0.0035857020432208397,YC_BOOST,1.12
2025-09-12,0.015712890725301243,0.01757331326322098,YC_BOOST,1.12
2025-09-19,0.012366845024330608,0.013704594494293065,YC_BOOST,1.12
2025-09-26,-0.0028325562231473755,-0.0032648982276509697,YC_BOOST,1.12
2025-10-03,0.011166154139524265,0.012372334540539098,YC_BOOST,1.12
2025-10-10,-0.02419278204702513,-0.027171351094813168,NORMAL,1.0
2025-10-17,0.01741147063534476,0.017351348466161598,NORMAL,1.0
2025-10-24,0.019356070768909994,0.019356070768909994,DUAL_BOOST,1.25
2025-10-31,0.007102264873938724,0.008551136190601216,CALM_BULL_BOOST,1.07
2025-11-07,-0.016259671647706475,-0.017541295871129736,YC_BOOST,1.12
2025-11-14,0.0014308936722773336,0.0014226924004003827,NORMAL,1.0
2025-11-21,-0.019198430339653405,-0.019257831849420315,LEVERAGED_LONG,1.3
